"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"TMEM175" 1.94506053379474 8.78241688016528 18.0013908177923 3.14207628891663e-31 3.79744913304236e-29 60.580648148066
"VENTX" -2.09695243165576 7.14484592078615 -17.9863493236887 3.32956193762324e-31 4.00130576130983e-29 60.52263923751
"WDHD1" -2.1188113310851 7.34805033032123 -17.9455162150629 3.89743154250725e-31 4.65743069329616e-29 60.3650195912404
"NUP205" -1.3886365641404 10.9050645524787 -17.92154087041 4.27539936084056e-31 5.08055976561115e-29 60.2723750621976
"HEY2" -3.9431734438989 8.57164083671163 -17.8591841156068 5.4409180494596e-31 6.4296537683364e-29 60.0310807836027
"ZNF721" -1.7455896907758 9.78202308370965 -17.8548056635517 5.53390104139111e-31 6.50340381499615e-29 60.0141196730539
"PEX11B" 1.49395540995408 10.27950528546 17.7860862546759 7.22219445421356e-31 8.44084056239432e-29 59.747600784608
"ABHD14B" 2.52699220558257 7.29535984899558 17.7774025261827 7.46964431832833e-31 8.6823390325225e-29 59.713879844785
"ATPBD4" -1.8582862233113 7.68142752167126 -17.7618357780935 7.93483153391341e-31 9.17292399771045e-29 59.6534067769637
"CHST8" -1.21404678892408 5.88085648307057 -17.7358760855048 8.77651321084386e-31 1.00910925679924e-28 59.5524917490504
"TMEM109" 1.82469202915902 9.55075398815623 17.7282262103662 9.04131195085733e-31 1.03396637906821e-28 59.5227376319323
"VASH2" -3.84814794396099 8.39788845326957 -17.6984440283461 1.01512651963307e-30 1.15469284487246e-28 59.4068298745282
"LOC646817" -3.7249770788741 8.67906620916614 -17.6342870817272 1.30321425331368e-30 1.47450374373592e-28 59.1567607359192
"CLN5" 1.53297896180181 8.78178141923617 17.6233331273579 1.36007340607593e-30 1.53069425506038e-28 59.1140128128178
"ZNF524" 1.88675657760607 7.95760767746136 17.6114324725424 1.42468598654883e-30 1.59106568248084e-28 59.0675532122559
"GCNT2" -1.97238643212563 6.90569121427141 -17.6107156218135 1.42867540479451e-30 1.59106568248084e-28 59.0647540894557
"GLIPR1L1" -3.29899763020408 7.31101822622865 -17.5744806370962 1.64571856966439e-30 1.82323331746516e-28 58.9231809791704
"MFSD1" 1.85925982892108 9.57871770163072 17.5247497055381 1.99880659563713e-30 2.20293342465271e-28 58.7286079504188
"TAPBPL" 1.89597560761033 6.65721964043681 17.5191659319823 2.04294787809354e-30 2.23997651107874e-28 58.7067418248871
"PCDHB2" -2.88152116997811 8.09290787916028 -17.4917775379035 2.27411895687324e-30 2.48065560675132e-28 58.5994314206557
"ABHD14A" 1.58927386258417 7.82639458993349 17.490029916429 2.28973509915939e-30 2.48494669868467e-28 58.592580847709
"ART5" -1.29527483678507 6.03560182923184 -17.4627980320317 2.54752334959868e-30 2.74423800543493e-28 58.4857835289105
"CYP4V2" 3.18624290403798 7.93328698684258 17.4621042850586 2.55445971076168e-30 2.74423800543493e-28 58.4830615832927
"ZNF195" -1.83455483244887 9.19913918472304 -17.4586002872559 2.58978613963223e-30 2.76820808925212e-28 58.4693125684409
"UTF1" -1.5758950261003 5.97543338895905 -17.447176829068 2.70841160378162e-30 2.88053116120194e-28 58.4244783152304
"IFIT2" 2.79855008832224 7.41574300416578 17.4376749423313 2.8112468370005e-30 2.97502644128545e-28 58.3871731659591
"HS.568479" -2.30118119517254 6.48567507635667 -17.4361929826307 2.82763667800778e-30 2.9775574147477e-28 58.3813538456574
"SYN3" -0.97206706845908 5.8294255996472 -17.3947313288702 3.3274006255767e-30 3.48655855697744e-28 58.2184305307894
"HRK" -2.11127249093881 6.30790342122816 -17.3818303749562 3.5003948444189e-30 3.64984797723699e-28 58.1676918726651
"LINGO1" -2.98174140351844 7.49648720144897 -17.3574888404763 3.85189041299538e-30 3.99675907194267e-28 58.0719006495097
"LOC654127" -3.15167553388713 7.0186805208599 -17.3463470419351 4.02444926397832e-30 4.15553690747975e-28 58.0280292702843
"GUCA1A" -2.7381139168523 7.60661230359544 -17.3353462634857 4.20247121559245e-30 4.3183944554042e-28 57.9846977161062
"GAL" -4.70711286147142 9.0241760274296 -17.3300348366125 4.29124545680144e-30 4.38841740921267e-28 57.9637707572667
"DCTN3" 1.800918576358 10.5410660963206 17.2660664562832 5.52132096776915e-30 5.61933101939797e-28 57.7114548798136
"XPO4" -1.04622245851055 9.93420608775776 -17.2606819224897 5.63984224136676e-30 5.71262306267202e-28 57.6901925037826
"COMT" 2.34661621466774 10.2651653555608 17.2584156276012 5.69049047223692e-30 5.73660771729628e-28 57.681242287361
"STOML1" 1.52307758459387 7.04844025268272 17.2389845182118 6.14400701705269e-30 6.16458364432679e-28 57.6044767624732
"LOC654053" -2.25538032410643 7.27071566515114 -17.2038903242898 7.05748908112102e-30 7.0478802931702e-28 57.4657103025943
"GLMN" -1.4560997847929 9.83730856385267 -17.157588699293 8.47571662220574e-30 8.42462468555787e-28 57.2823888482757
"CA11" -2.53160747940838 8.02852514152619 -17.1332212294781 9.33418444606019e-30 9.23476452800681e-28 57.1858015265843
"UNG" -1.93675472288412 9.71289639589326 -17.0609384563977 1.24324950921758e-29 1.22431297734107e-27 56.8988439191945
"UNC84B" 2.56720820752699 10.9523230461371 17.0462258276131 1.31804661886299e-29 1.29198938386335e-27 56.8403543261233
