"Sample.id" "cell.type" "cell.line.tissue.type" "gender"
"GSM760101" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-Foreskin-CL2" "Male"
"GSM760102" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-Foreskin-CL3" "Male"
"GSM760103" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-Foreskin-CL4" "Male"
"GSM760104" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: GOTTESFELD4078.1A2" "Male"
"GSM760105" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: GOTTESFELD4078.1B3" "Male"
"GSM760106" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HFIB2IPS5" "Male"
"GSM760107" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: K4AMKIPS4F1" "Male"
"GSM760108" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: KIPS4F8" "Male"
"GSM760109" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: NSC253I" "Male"
"GSM760110" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: TH124SOX2BTHAL" "Male"
"GSM760111" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: TH152OCT4BTHAL" "Male"
"GSM760112" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: TH160OCT4SOX2BTHAL" "Male"
"GSM760113" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS10" "Female"
"GSM760114" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS11" "Female"
"GSM760115" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS12" "Female"
"GSM760116" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS13" "Female"
"GSM760117" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS1" "Female"
"GSM760118" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS2" "Female"
"GSM760119" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS3" "Female"
"GSM760120" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS5" "Female"
"GSM760121" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS6" "Female"
"GSM760122" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS7" "Female"
"GSM760123" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS9" "Female"
"GSM760124" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC15" "Female"
"GSM760125" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC2" "Female"
"GSM760126" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC6" "Female"
"GSM760127" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC6" "Female"
"GSM760128" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC7" "Female"
"GSM760129" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC8" "Female"
"GSM760130" "cell type: parthenogentic embryonic stem cell, undifferentiated" "cell line: LLC9" "Female"
"GSM760131" "cell type: Somatic.Primary" "cell line: HDF258" "Female"
"GSM760132" "cell type: Somatic.Primary" "cell line: HDF51" "Female"
"GSM760133" "cell type: Somatic.Primary" "cell line: HDF51" "Female"
"GSM760134" "cell type: Somatic.Primary" "cell line: HDF68" "Female"
"GSM760135" "cell type: Somatic.Primary" "cell line: HDF69" "Female"
"GSM760136" "cell type: Somatic.Primary" "cell line: ASTRO1" "Female"
"GSM760137" "cell type: Somatic.Primary" "cell line: HDK85" "Female"
"GSM760138" "cell type: Somatic.Primary" "cell line: HPAv263" "Female"
"GSM760139" "cell type: Somatic.Primary" "cell line: HSkMC268" "Female"
"GSM760140" "cell type: Somatic.Primary" "cell line: HUVECBF4" "Female"
"GSM760141" "cell type: Somatic.Primary" "cell line: HUVECBF5" "Female"
"GSM760142" "cell type: Somatic.Primary" "cell line: IMR90" "Female"
"GSM760143" "cell type: Somatic.Primary" "cell line: CCD1079SK" "Male"
"GSM760144" "cell type: Somatic.Primary" "cell line: HBdSMC265" "Male"
"GSM760145" "cell type: Somatic.Primary" "cell line: HBVSMC266" "Male"
"GSM760146" "cell type: Somatic.Primary" "cell line: HCF1" "Male"
"GSM760147" "cell type: Somatic.Primary" "cell line: HCFaa1" "Male"
"GSM760148" "cell type: Somatic.Primary" "cell line: HDF.HSP" "Male"
"GSM760149" "cell type: Somatic.Primary" "cell line: HDF.HSP" "Male"
"GSM760150" "cell type: Somatic.Primary" "cell line: HESMC267" "Male"
"GSM760151" "cell type: Somatic.Primary" "cell line: HIBEpiC254" "Male"
"GSM760152" "cell type: Somatic.Primary" "cell line: HPLF260" "Male"
"GSM760153" "cell type: Somatic.Primary" "cell line: HRCEpiC255" "Male"
"GSM760154" "cell type: Somatic.Primary" "cell line: HREpiC256" "Male"
"GSM760155" "cell type: Somatic.Primary" "cell line: HRPTEpiC257" "Male"
"GSM760156" "cell type: Somatic.Primary" "cell line: KDIB2" "Male"
"GSM760157" "cell type: Somatic.Primary" "cell line: KERA1" "Male"
"GSM760158" "cell type: Somatic.Primary" "cell line: MRC5" "Male"
"GSM760159" "cell type: Somatic.Primary" "cell line: NUFF" "Male"
"GSM760160" "cell type: Somatic.Primary" "cell line: SC01GLIA" "Male"
"GSM760161" "cell type: Somatic.Primary" "cell line: SC11GLIA" "Male"
"GSM760162" "cell type: Somatic.Primary" "cell line: HMSCbm252" "Female"
"GSM760163" "cell type: Somatic.Primary" "cell line: SC41MSC" "Female"
"GSM760164" "cell type: Somatic.Primary" "cell line: SC27NSC" "Female"
"GSM760165" "cell type: Somatic.Primary" "cell line: SM2" "Female"
"GSM760166" "cell type: Somatic.Primary" "cell line: HMSCad251" "Male"
"GSM760167" "cell type: Somatic.Primary" "cell line: SC31MSC" "Male"
"GSM760168" "cell type: Somatic.Primary" "cell line: HANSE20H" "Male"
"GSM760169" "cell type: Somatic.Primary" "cell line: HANSE21" "Male"
"GSM760170" "cell type: Somatic.Primary" "cell line: SC23NSC" "Male"
"GSM760171" "cell type: Somatic.Primary" "cell line: SM3" "Male"
"GSM760172" "cell type: Somatic.Tissue" "tissue type: Adipose" "Female"
"GSM760173" "cell type: Somatic.Tissue" "tissue type: Adrenal" "Female"
"GSM760174" "cell type: Somatic.Tissue" "tissue type: Adrenal" "Female"
"GSM760175" "cell type: Somatic.Tissue" "tissue type: Bladder" "Female"
"GSM760176" "cell type: Somatic.Tissue" "tissue type: Diaphragm" "Female"
"GSM760177" "cell type: Somatic.Tissue" "tissue type: Duodenum" "Female"
"GSM760178" "cell type: Somatic.Tissue" "tissue type: Gallbladder" "Female"
"GSM760179" "cell type: Somatic.Tissue" "tissue type: Kidney" "Female"
"GSM760180" "cell type: Somatic.Tissue" "tissue type: Liver" "Female"
"GSM760181" "cell type: Somatic.Tissue" "tissue type: Lung" "Female"
"GSM760182" "cell type: Somatic.Tissue" "tissue type: Lung" "Female"
"GSM760183" "cell type: Somatic.Tissue" "tissue type: Lymph.Node" "Female"
"GSM760184" "cell type: Somatic.Tissue" "tissue type: Ovary" "Female"
"GSM760185" "cell type: Somatic.Tissue" "tissue type: Skeletal.muscle" "Female"
"GSM760186" "cell type: Somatic.Tissue" "tissue type: Stomach" "Female"
"GSM760187" "cell type: Somatic.Tissue" "tissue type: Stomach" "Female"
"GSM760188" "cell type: Somatic.Tissue" "tissue type: Tongue" "Female"
"GSM760189" "cell type: Somatic.Tissue" "tissue type: Ureter" "Female"
"GSM760190" "cell type: Somatic.Tissue" "tissue type: Adipose" "Male"
"GSM760191" "cell type: Somatic.Tissue" "tissue type: Adrenal" "Male"
"GSM760192" "cell type: Somatic.Tissue" "tissue type: Adrenal" "Male"
"GSM760193" "cell type: Somatic.Tissue" "tissue type: Bladder" "Male"
"GSM760194" "cell type: Somatic.Tissue" "tissue type: Diaphragm" "Male"
"GSM760195" "cell type: Somatic.Tissue" "tissue type: Kidney" "Male"
"GSM760196" "cell type: Somatic.Tissue" "tissue type: Lung" "Male"
"GSM760197" "cell type: Somatic.Tissue" "tissue type: Lung" "Male"
"GSM760198" "cell type: Somatic.Tissue" "tissue type: Lymph.Node" "Male"
"GSM760199" "cell type: Somatic.Tissue" "tissue type: Skeletal.muscle" "Male"
"GSM760200" "cell type: Somatic.Tissue" "tissue type: Small.intestine" "Male"
"GSM760201" "cell type: Somatic.Tissue" "tissue type: Stomach" "Male"
"GSM760202" "cell type: Somatic.Tissue" "tissue type: Stomach" "Male"
"GSM760203" "cell type: Somatic.Tissue" "tissue type: Ureter" "Male"
